x,y,z
35222,4181,33
35084,27532,86
36429,-70314,444
35888,19752,86
38768,43122,67
39590,33120,94
39426,57582,106
39239,85380,96
40111,67594,94
41878,-79174,278
41899,27576,113
44129,33152,65
45012,16479,106
46026,-16873,209
45513,49842,66
45436,59849,115
45341,72080,104
46624,4259,171
46477,23162,91
46407,32057,91
46372,36505,58
48000,-73569,308
47974,-70233,312
47261,19832,140
46630,98778,126
48503,53202,58
50350,13186,162
50086,44319,48
51878,-76873,208
52863,-13481,171
52391,39891,54
53046,51017,120
54930,-73510,227
53719,59919,119
53526,81045,123
53434,91052,139
54545,52142,88
55465,34359,82
55434,37694,64
56485,6568,190
56253,31030,103
58337,49954,65
58991,59969,118
61279,-92353,74
59947,39962,86
59710,63313,89
61646,-52317,503
60382,71103,134
60291,79998,129
61816,5509,247
61111,73335,126
60902,93348,131
62727,-8938,287
63265,12196,199
63147,23316,155
64917,-71188,240
64505,37786,117
64818,77822,109
67605,-105630,0
67556,-101183,0
67298,-8888,343
66647,48930,91
68585,76753,142
68402,92319,142
69848,33399,184
72860,-27727,285
72550,-2154,221
71629,73454,128
74004,-58851,164
75610,-64391,196
74401,32342,115
76497,-13226,269
76199,10123,271
77388,-23223,348
76383,54608,95
78368,-39891,261
76801,80191,90
77816,60187,63
77743,65746,61
79458,-6515,241
81551,-48745,257
80645,73570,68
83475,85842,115
84689,53610,72
84561,62504,126
84305,80294,109
88193,-30859,276
87887,41423,140
87738,51430,118
88559,46994,116
89751,18097,284
89094,61459,119
92088,62617,111
94583,378,298
93700,55970,185
93505,68200,125
95768,-26294,94
95450,-6281,313
97099,-14039,132
97523,52695,231
97339,63814,140
98769,68285,116
100124,32720,235
99992,40503,205
99917,44950,311
101069,21615,200
101815,66113,149
103672,2753,170
105420,-53936,58
103398,61692,392
103261,69475,303
106209,-11660,186
105735,15023,240
107040,68430,249
109500,-24948,190
109815,-474,72
111743,18469,175
113592,-39330,96
115226,-4821,126
114798,17415,205
116224,-17036,184
122236,-12467,82
126724,-44629,36
131057,-32302,16
130476,-5620,100
132684,-36715,39
131778,4419,121
138143,-41041,40
143715,-49810,30
145757,-7492,8
146655,-13031,6
154392,-17287,5
160524,-18238,29
161600,-1523,0
172891,-23457,15
